created_at,id,tweet_url,retweet_count,favorite_count,text,rating_numerator,rating_denominator,name,jpg_url,dog_type,dog_stage
08/2017,892177421306343426,https://twitter.com/dog_rates/status/892177421306343426/photo/1,6514,33819,"this is tilly. she's just checking pup on you. hopes you're doing ok. if not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0xxu71qeiv",13.0,10,Tilly,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Chihuahua,
07/2017,891815181378084864,https://twitter.com/dog_rates/status/891815181378084864/photo/1,4328,25461,this is archie. he is a rare norwegian pouncing corgo. lives in the tall grass. you never know when one may strike. 12/10 https://t.co/wunznhtvjb,12.0,10,Archie,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Chihuahua,
07/2017,891689557279858688,https://twitter.com/dog_rates/status/891689557279858688/photo/1,8964,42908,this is darla. she commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/td36da7qlq,13.0,10,Darla,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,Labrador_retriever,
07/2017,891327558926688256,https://twitter.com/dog_rates/status/891327558926688256/photo/1,9774,41048,"this is franklin. he would like you to stop calling him ""cute."" he is a very fierce shark and should be respected as such. 12/10 #barkweek https://t.co/atuzn91f7f",12.0,10,Franklin,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,basset,
07/2017,891087950875897856,https://twitter.com/dog_rates/status/891087950875897856/photo/1,3261,20562,here we have a majestic great white breaching off south africa's coast. absolutely h*ckin breathtaking. 13/10 (ig: tucker_marlo) #barkweek https://t.co/kq04fddrmh,13.0,10,,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,Chesapeake_Bay_retriever,
07/2017,890971913173991426,https://twitter.com/dog_rates/status/890971913173991426/photo/1,2158,12041,"meet jax. he enjoys ice cream so much he gets nervous around it. 13/10 help jax enjoy more things by clicking below

https://t.co/zr4hwfas1h https://t.co/tvjbrmnhxl",13.0,10,Jax,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Appenzeller,
07/2017,890729181411237888,https://twitter.com/dog_rates/status/890729181411237888/photo/1,16716,56848,when you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nonbcwxq,13.0,10,,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,Pomeranian,
07/2017,890609185150312448,https://twitter.com/dog_rates/status/890609185150312448/photo/1,4429,28226,this is zoey. she doesn't want to be one of the scary sharks. just wants to be a snuggly pettable boatpet. 13/10 #barkweek https://t.co/9twluagh0b,13.0,10,Zoey,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Irish_terrier,
07/2017,890240255349198849,https://twitter.com/dog_rates/status/890240255349198849/photo/1,7711,32467,this is cassie. she is a college pup. studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5s2a,14.0,10,Cassie,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke,doggo
07/2017,890006608113172480,https://twitter.com/dog_rates/status/890006608113172480/photo/1,7624,31166,this is koda. he is a south australian deckshark. deceptively deadly. frighteningly majestic. 13/10 would risk a petting #barkweek https://t.co/dvpw0b0mme,13.0,10,Koda,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,Samoyed,
